Date,Close
2015-03-02,105.89
2015-03-03,106.35
2015-03-04,105.57
2015-03-05,105.03
2015-03-06,103.82
2015-03-09,105.26
2015-03-10,103.09
2015-03-11,102.89
2015-03-12,107.17
2015-03-13,106.44
2015-03-16,107.37
2015-03-17,106.96
2015-03-18,107.97
2015-03-19,107.37
2015-03-20,108.43
2015-03-23,108.22
2015-03-24,107.11
2015-03-25,105
2015-03-26,105.24
2015-03-27,105.48
2015-03-30,106.12
2015-03-31,104.89
2015-04-01,105.44
2015-04-02,106
2015-04-06,105.63
2015-04-07,105.43
2015-04-08,106.36
2015-04-09,106.77
2015-04-10,106.95
2015-04-13,106.51
2015-04-14,106.66
2015-04-15,106.98
2015-04-16,108.1
2015-04-17,106.69
2015-04-20,108.22
2015-04-21,107.68
2015-04-22,107.94
2015-04-23,109
2015-04-24,109.53
2015-04-27,110.16
2015-04-28,109.92
2015-04-29,109.81
2015-04-30,108.72
2015-05-01,110.52
2015-05-04,111.03
2015-05-05,110.81
2015-05-06,109.72
2015-05-07,109.26
2015-05-08,110.11
2015-05-11,108.6
2015-05-12,109.24
2015-05-13,109.19
2015-05-14,109.93
2015-05-15,110.3
2015-05-18,110.33
2015-05-19,110.56
2015-05-20,110.2
2015-05-21,110.39
2015-05-22,110.26
2015-05-26,109.44
2015-05-27,110.37
2015-05-28,110.53
2015-05-29,110.37
2015-06-01,110.96
2015-06-02,110.75
2015-06-03,111.17
2015-06-04,110.3
2015-06-05,110.3
2015-06-08,109.29
2015-06-09,108.52
2015-06-10,110
2015-06-11,110.62
2015-06-12,109.95
2015-06-15,110.18
2015-06-16,111.06
2015-06-17,111.49
2015-06-18,113.22
2015-06-19,112.62
2015-06-22,113.53
2015-06-23,114.41
2015-06-24,113.77
2015-06-25,114.45
2015-06-26,114.99
2015-06-29,113.05
2015-06-30,114.14
2015-07-01,115.13
2015-07-02,114.97
2015-07-06,115.7
2015-07-07,117.1
2015-07-08,115.19
2015-07-09,115.6
2015-07-10,116.44
2015-07-13,118.05
2015-07-14,117.85
2015-07-15,118.3
2015-07-16,119.07
2015-07-17,118.86
2015-07-20,119.58
2015-07-21,119.31
2015-07-22,119.33
2015-07-23,118.8
2015-07-24,118.91
2015-07-27,118.25
2015-07-28,118.46
2015-07-29,119.84
2015-07-30,120.03
2015-07-31,120
2015-08-03,121.12
2015-08-04,121.69
2015-08-05,110.53
2015-08-06,108.55
2015-08-07,109.35
2015-08-10,111
2015-08-11,108
2015-08-12,106.99
2015-08-13,107.52
2015-08-14,107.16
2015-08-17,109.05
2015-08-18,106.94
2015-08-19,106.45
2015-08-20,100.02
2015-08-21,98.84
2015-08-24,95.36
2015-08-25,95.89
2015-08-26,99.23
2015-08-27,102.17
2015-08-28,102.48
2015-08-31,101.88
2015-09-01,99.51
2015-09-02,101.89
2015-09-03,101.99
2015-09-04,100.97
2015-09-08,104.01
2015-09-09,101.91
2015-09-10,102.6
2015-09-11,104.48
2015-09-14,103.82
2015-09-15,103.43
2015-09-16,103.96
2015-09-17,104.2
2015-09-18,102.84
2015-09-21,103.41
2015-09-22,102.49
2015-09-23,101.57
2015-09-24,100.62
2015-09-25,100.3
2015-09-28,98.49
2015-09-29,99.42
2015-09-30,102.2
2015-10-01,102.67
2015-10-02,103
2015-10-05,103.85
2015-10-06,103.77
2015-10-07,103.39
2015-10-08,104.61
2015-10-09,105.56
2015-10-12,106.35
2015-10-13,106.59
2015-10-14,105.73
2015-10-15,107.89
2015-10-16,108.24
2015-10-19,109.47
2015-10-20,109.84
2015-10-21,110.09
2015-10-22,113.25
2015-10-23,113.09
2015-10-26,113.52
2015-10-27,113.77
2015-10-28,114.34
2015-10-29,115.04
2015-10-30,113.74
2015-11-02,115.04
2015-11-03,115.54
2015-11-04,113.25
2015-11-05,113
2015-11-06,115.67
2015-11-09,116.42
2015-11-10,117.42
2015-11-11,116.52
2015-11-12,116.21
2015-11-13,114.84
2015-11-16,115.92
2015-11-17,116.13
2015-11-18,118.14
2015-11-19,118.71
2015-11-20,120.07
2015-11-23,119.42
2015-11-24,117.95
2015-11-25,118.67
2015-11-27,115.13
2015-11-30,113.47
2015-12-01,115.39
2015-12-02,114
2015-12-03,111.89
2015-12-04,114.24
2015-12-07,113.83
2015-12-08,112.48
2015-12-09,111.47
2015-12-10,110.76
2015-12-11,108.04
2015-12-14,109.35
2015-12-15,112.16
2015-12-16,113.79
2015-12-17,112.01
2015-12-18,107.72
2015-12-21,106.59
2015-12-22,106.74
2015-12-23,105.56
2015-12-24,105.86
2015-12-28,107.25
2015-12-29,107.08
2015-12-30,106.34
2015-12-31,105.08
2016-01-04,102.98
2016-01-05,100.9
2016-01-06,100.36
2016-01-07,99.5
2016-01-08,99.25
2016-01-11,99.92
2016-01-12,101.46
2016-01-13,98.48
2016-01-14,99.11
2016-01-15,93.9
2016-01-19,93.97
2016-01-20,92.54
2016-01-21,94.02
2016-01-22,96.9
2016-01-25,95.29
2016-01-26,96.27
2016-01-27,94.32
2016-01-28,93.53
2016-01-29,95.82
2016-02-01,95.15
2016-02-02,93.12
2016-02-03,95.14
2016-02-04,95.43
2016-02-05,93.9
2016-02-08,92.12
2016-02-09,92.32
2016-02-10,88.85
2016-02-11,90.31
2016-02-12,91.15
2016-02-16,92.91
2016-02-17,95.5
2016-02-18,95.17
2016-02-19,95.01
2016-02-22,96.37
2016-02-23,95.38
2016-02-24,95.43
2016-02-25,95.65
2016-02-26,95.31
2016-02-29,95.52
2016-03-01,97.65
2016-03-02,97
2016-03-03,98.82
2016-03-04,98.48
2016-03-07,99.39
2016-03-08,97.82
2016-03-09,97.66
2016-03-10,97.04
2016-03-11,97.94
2016-03-14,98.81
2016-03-15,98.24
2016-03-16,98.44
2016-03-17,99.6
2016-03-18,99.2
2016-03-21,98.46
2016-03-22,97.58
2016-03-23,96.83
2016-03-24,97.22
2016-03-28,98.09
2016-03-29,98.16
2016-03-30,98.91
2016-03-31,99.31
2016-04-01,99.07
2016-04-04,98.68
2016-04-05,97
2016-04-06,97.48
2016-04-07,96.16
2016-04-08,96.42
2016-04-11,96.27
2016-04-12,97.35
2016-04-13,99.48
2016-04-14,98.63
2016-04-15,98.59
2016-04-18,101.48
2016-04-19,102.64
2016-04-20,103.27
2016-04-21,102.91
2016-04-22,103.77
2016-04-25,104.57
2016-04-26,104.89
2016-04-27,105.28
2016-04-28,104.03
2016-04-29,103.26
2016-05-02,104.36
2016-05-03,103.78
2016-05-04,103.67
2016-05-05,104.93
2016-05-06,105.54
2016-05-09,105.34
2016-05-10,106.6
2016-05-11,102.29
2016-05-12,101.71
2016-05-13,100.52
2016-05-16,100.36
2016-05-17,99.94
2016-05-18,99
2016-05-19,98.41
2016-05-20,99.78
2016-05-23,99.18
2016-05-24,99.51
2016-05-25,99.86
2016-05-26,99.81
2016-05-27,100.29
2016-05-31,99.22
2016-06-01,98.52
2016-06-02,98.72
2016-06-03,98.75
2016-06-06,98.78
2016-06-07,98.35
2016-06-08,98.04
2016-06-09,97.84
2016-06-10,97.34
2016-06-13,97.57
2016-06-14,98.4
2016-06-15,98.27
2016-06-16,98.38
2016-06-17,99
2016-06-20,99.57
2016-06-21,98.82
2016-06-22,98.79
2016-06-23,99.02
2016-06-24,95.72
2016-06-27,94.38
2016-06-28,96.05
2016-06-29,96.98
2016-06-30,97.82
2016-07-01,98.03
2016-07-05,97.66
2016-07-06,98.45
2016-07-07,98.41
2016-07-08,99.62
2016-07-11,99.98
2016-07-12,100.2
2016-07-13,99.88
2016-07-14,99.97
2016-07-15,99.8
2016-07-18,100.15
2016-07-19,99.47
2016-07-20,98.22
2016-07-21,98.01
2016-07-22,97.71
2016-07-25,97.39
2016-07-26,96.69
2016-07-27,96.33
2016-07-28,95.91
2016-07-29,95.95
2016-08-01,95.54
2016-08-02,95.01
2016-08-03,96.09
2016-08-04,95.16
2016-08-05,95.83
2016-08-08,95.75
2016-08-09,96.67
2016-08-10,97.86
2016-08-11,97.77
2016-08-12,96.84
2016-08-15,97.1
2016-08-16,96.88
2016-08-17,96.87
2016-08-18,96.65
2016-08-19,96.39
2016-08-22,95.87
2016-08-23,95.97
2016-08-24,95.82
2016-08-25,95.55
2016-08-26,95.21
2016-08-29,94.87
2016-08-30,94.86
2016-08-31,94.46
2016-09-01,94.26
2016-09-02,94.42
2016-09-06,93.8
2016-09-07,93.71
2016-09-08,94.09
2016-09-09,92.42
2016-09-12,93.64
2016-09-13,92.7
2016-09-14,92.26
2016-09-15,92.5
2016-09-16,92.56
2016-09-19,92.63
2016-09-20,92.95
2016-09-21,92.39
2016-09-22,93.41
2016-09-23,93.27
2016-09-26,91.96
2016-09-27,91.72
2016-09-28,92.2
2016-09-29,91.8
2016-09-30,92.86
2016-10-03,92.49
2016-10-04,92.59
2016-10-05,92.45
2016-10-06,92.83
2016-10-07,92.49
2016-10-10,92.49
2016-10-11,91.86
2016-10-12,91.41
2016-10-13,91.12
2016-10-14,91.3
2016-10-17,90.83
2016-10-18,91.17
2016-10-19,91.93
2016-10-20,92.03
2016-10-21,93.03
2016-10-24,93.37
2016-10-25,92.75
2016-10-26,93.49
2016-10-27,94.02
2016-10-28,93.85
2016-10-31,92.69
2016-11-01,92.39
2016-11-02,91.91
2016-11-03,93.37
2016-11-04,92.45
2016-11-07,94.43
2016-11-08,94.38
2016-11-09,94.64
2016-11-10,94.96
2016-11-11,97.68
2016-11-14,97.92
2016-11-15,97.7
2016-11-16,99.12
2016-11-17,99.37
2016-11-18,98.24
2016-11-21,97.63
2016-11-22,97.71
2016-11-23,98.26
2016-11-25,98.82
2016-11-28,98.97
2016-11-29,99.67
2016-11-30,99.12
2016-12-01,98.94
2016-12-02,98.5
2016-12-05,99.96
2016-12-06,100.66
2016-12-07,101.99
2016-12-08,103.38
2016-12-09,104.86
2016-12-12,104.06
2016-12-13,103.85
2016-12-14,104.05
2016-12-15,104.39
2016-12-16,103.91
2016-12-19,105.3
2016-12-20,105.46
2016-12-21,105.56
2016-12-22,105.42
2016-12-23,105.15
2016-12-27,105.17
2016-12-28,104.3
2016-12-29,104.56
2016-12-30,104.22
2017-01-03,106.08
2017-01-04,107.44
2017-01-05,107.38
2017-01-06,108.98
2017-01-09,108.36
2017-01-10,108.38
2017-01-11,109.44
2017-01-12,107.53
2017-01-13,108.06
2017-01-17,107.97
2017-01-18,108.16
2017-01-19,107.28
2017-01-20,107.66
2017-01-23,107.12
2017-01-24,107.9
2017-01-25,108.04
2017-01-26,108.06
2017-01-27,109.3
2017-01-30,110.94
2017-01-31,110.65
2017-02-01,111.3
2017-02-02,110.61
2017-02-03,110.3
2017-02-06,109.57
2017-02-07,109
2017-02-08,109
2017-02-09,109.49
2017-02-10,109.26
2017-02-13,109.65
2017-02-14,110.33
2017-02-15,110.18
2017-02-16,110.71
2017-02-17,110.06
2017-02-21,110.01
2017-02-22,110.12
2017-02-23,109.73
2017-02-24,110.32
2017-02-27,110.23
2017-02-28,110.09
2017-03-01,111.04
2017-03-02,110.59
2017-03-03,111.24
2017-03-06,110.67
2017-03-07,110.86
2017-03-08,110.84
2017-03-09,111.03
2017-03-10,110.92
2017-03-13,111.52
2017-03-14,112.31
2017-03-15,111.87
2017-03-16,111.71
2017-03-17,111.76
2017-03-20,112.71
2017-03-21,111.75
2017-03-22,112.08
2017-03-23,112.24
2017-03-24,112.14
2017-03-27,112.38
2017-03-28,113.05
2017-03-29,112.53
2017-03-30,113.18
2017-03-31,113.39
2017-04-03,113.2
2017-04-04,113.04
2017-04-05,113
2017-04-06,113.05
2017-04-07,112.58
2017-04-10,112.43
2017-04-11,113.07
2017-04-12,113.04
2017-04-13,113.2
2017-04-17,113.78
2017-04-18,114.19
2017-04-19,113.73
2017-04-20,114.79
2017-04-21,114.44
2017-04-24,113.7
2017-04-25,115.18
2017-04-26,115.58
2017-04-27,115.84
2017-04-28,115.6
2017-05-01,114.73
2017-05-02,114.37
2017-05-03,111.62
2017-05-04,111.17
2017-05-05,111.99
2017-05-08,111.42
2017-05-09,112.07
2017-05-10,109.66
2017-05-11,109.58
2017-05-12,109.69
2017-05-15,109.13
2017-05-16,107.98
2017-05-17,106.31
2017-05-18,106.68
2017-05-19,107.52
2017-05-22,107.63
2017-05-23,107.02
2017-05-24,107.71
2017-05-25,107.27
2017-05-26,108.41
2017-05-30,108.34
2017-05-31,107.94
2017-06-01,108.21
2017-06-02,107.18
2017-06-05,106.52
2017-06-06,105.5
2017-06-07,105.92
2017-06-08,104.32
2017-06-09,105.62
2017-06-12,107.04
2017-06-13,106.56
2017-06-14,106.14
2017-06-15,105.98
2017-06-16,105.51
2017-06-19,105.37
2017-06-20,103.94
2017-06-21,104.8
2017-06-22,104.22
